,index,positive,negative,zero
0,fo1_hs/pki,4,4,16
1,fo1_hs/le,4,4,16
2,fo1_hs/bei,4,4,16
3,fo2_hs/pki,4,4,16
4,fo2_hs/le,4,4,16
5,fo2_hs/bei,4,4,16
6,fo21_hs/pki,4,4,16
7,fo21_hs/le,4,4,16
8,fo21_hs/bei,4,4,16
9,fo2_cs/pki,4,4,16
10,fo2_cs/le,4,4,16
11,fo2_cs/bei,4,4,16
12,fo2_cs/pki,4,4,16
13,fo2_cs/le,4,4,16
14,fo2_cs/bei,4,4,16
15,fo21_cs/pki,4,4,16
16,fo21_cs/le,4,4,16
17,fo21_cs/bei,4,4,16
18,dce_hs/pki,4,4,16
19,dce_hs/le,4,4,16
20,dce_hs/bei,4,4,16
21,dce_cs/pki,4,4,16
22,dce_cs/le,4,4,16
23,dce_cs/bei,4,4,16
